Screaming Circuits SMD component position file.,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,
,,,,
"Centroid Data for pc board: ""HKCV4.brd"" as of: 1/16/2019 9:54:08 PM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.025,-0.23,90
C2,Top,-0.607,0.156,180
C3,Top,-0.641,0.476,180
C4,Top,-0.479,0.294,0
C5,Top,-0.53,-0.05,90
C6,Top,-0.465,-0.047,90
C7,Top,-0.225,0.331,0
C8,Top,-0.516,-0.219,90
C9,Top,0.22,0.632,0
C10,Top,0.671,0.176,270
C11,Top,-0.596,-0.219,90
C12,Top,0.342,-0.236,90
C13,Top,0.259,-0.236,90
C14,Top,0.101,-0.23,90
C15,Top,-0.679,-0.219,90
C16,Top,0.544,-0.171,180
C17,Top,-0.611,0.082,180
C18,Top,0.035,-0.03,180
C19,Top,-0.298,0.454,90
C20,Top,-0.246,0.454,90
C21,Top,1.073,-0.157,0
C22,Top,0.876,-0.069,180
C23,Top,0.876,-0.157,180
C24,Top,0.876,-0.246,180
C25,Top,0.876,-0.335,180
C26,Top,1.073,-0.069,0
C27,Top,0.446,0.633,0
C28,Top,1.073,-0.246,0
C29,Top,1.073,-0.335,0
C31,Top,0.622,0.177,270
C32,Top,0.039,0.212,90
C33,Top,0.435,0.045,0
C34,Top,0.199,-0.022,90
C41,Top,0.628,0.459,90
CHOKE,Top,0.678,0.472,270
D1,Top,-0.558,0.22,180
L1,Top,-0.623,0.35,0
LDFM33PUR,Top,-0.409,0.402,180
LED1,Top,0,0.449,90
LED2,Top,0.45,0.684,270
MC1,Top,-0.513,0.401,90
PROG,Top,-0.069,0.649,180
Q1,Top,-0.583,-0.417,90
Q2,Top,-0.37,-0.474,270
Q3,Top,0.073,-0.433,90
Q4,Top,-0.146,-0.474,270
Q5,Top,0.291,-0.452,90
Q6,Top,0.516,-0.401,270
R1,Top,-0.622,-0.011,180
R2,Top,-0.621,-0.058,0
R3,Top,-0.017,0.314,90
R4,Top,0.035,0.314,90
R5,Top,0,0.395,180
R6,Top,-0.116,-0.237,270
R7,Top,-0.297,-0.238,270
R22,Top,0.335,0.683,180
R26,Top,-0.102,0.342,180
R27,Top,-0.092,0.417,270
U$1,Top,-0.27,0.114,45
U$3,Top,0.336,0.336,90
U$6,Top,0.369,0.014,270
U$11,Bottom,0,0,180
VREFCAP,Top,-0.026,0.173,270
